Periodo,IPC
Dic86,0.00010375
Ene87,0.000110567
Feb87,0.000116746
Mar87,0.000122975
Abr87,0.000131081
May87,0.000138825
Jun87,0.000145329
Jul87,0.000155955
Ago87,0.00016744
Sep87,0.000178276
Oct87,0.000189631
Nov87,0.000203155
Dic87,0.000222557
Ene88,0.000250985
Feb88,0.000280676
Mar88,0.000344108
Abr88,0.000405758
May88,0.0004403
Jun88,0.000479104
Jul88,0.000627167
Ago88,0.0007633
Sep88,0.001634377
Oct88,0.002297954
Nov88,0.002858791
Dic88,0.004055707
Ene89,0.005975034
Feb89,0.008513937
Mar89,0.012089099
Abr89,0.017968663
May89,0.023109926
Jun89,0.028437059
Jul89,0.035427282
Ago89,0.04430647
Sep89,0.056207206
Oct89,0.069276002
Nov89,0.087176887
Dic89,0.116600815
Ene90,0.151403345
Feb90,0.197626665
Mar90,0.262145266
Abr90,0.359921723
May90,0.477935776
Jun90,0.68145952
Jul90,1.112363077
Ago90,5.528258735
Sep90,6.28952004
Oct90,6.894277237
Nov90,7.303179607
Dic90,9.036149501
Ene91,10.64732373
Feb91,11.65053058
Mar91,12.54763775
Abr91,13.28042118
May91,14.29489206
Jun91,15.61860272
Jul91,17.03318128
Ago91,18.26638385
Sep91,19.28201939
Oct91,20.04403737
Nov91,20.83778628
Dic91,21.6170435
Ene92,22.38229301
Feb92,23.44322895
Mar92,25.18827882
Abr92,25.98749531
May92,26.88089924
Jun92,27.84508506
Jul92,28.81329306
Ago92,29.62768164
Sep92,30.40385104
Oct92,31.51000315
Nov92,32.62546028
Dic92,33.88123948
Ene93,35.52308784
Feb93,36.56520321
Mar93,38.11426775
Abr93,39.80163315
May93,41.00872212
Jun93,41.75386233
Jul93,42.8975788
Ago93,43.98454326
Sep93,44.69744595
Oct93,45.37151393
Nov93,46.09929367
Dic93,47.2574524
Ene94,48.125583
Feb94,49.001802
Mar94,50.140815
Abr94,50.915464
May94,51.279888
Jun94,51.864785
Jul94,52.32633
Ago94,53.128456
Sep94,53.402143
Oct94,53.555261
Nov94,54.209059
Dic94,54.52741
Ene95,54.730355
Feb95,55.352251
Mar95,56.111695
Abr95,56.664153
May95,57.137134
Jun95,57.59921
Jul95,57.927614
Ago95,58.528775
Sep95,58.757902
Oct95,59.057019
Nov95,59.791135
Dic95,60.104579
Ene96,60.851396
Feb96,61.784717
Mar96,62.637445
Abr96,63.183174
May96,63.64283
Jun96,63.939072
Jul96,64.817595
Ago96,65.416732
Sep96,65.628764
Oct96,66.110843
Nov96,66.420225
Dic96,67.220958
Ene97,67.54437
Feb97,67.604439
Mar97,68.465734
Abr97,68.730867
May97,69.249864
Jun97,70.002046
Jul97,70.582157
Ago97,70.7422
Sep97,70.949105
Oct97,71.056608
Nov97,71.111782
Dic97,71.565467
Ene98,72.214071
Feb98,73.105624
Mar98,74.069769
Abr98,74.522416
May98,74.964679
Jun98,75.362279
Jul98,75.835604
Ago98,76.036143
Sep98,75.627084
Oct98,75.373834
Nov98,75.396757
Dic98,75.864257
Ene99,75.874893
Feb99,76.113863
Mar99,76.579753
Abr99,77.031331
May99,77.394279
Jun99,77.533286
Jul99,77.737381
Ago99,77.870391
Sep99,78.228577
Oct99,78.134101
Nov99,78.350827
Dic99,78.691265
Ene00,78.745802
Feb00,79.123884
Mar00,79.552148
Abr00,79.959134
May00,79.972536
Jun00,80.023947
Jul00,80.437128
Ago00,80.813624
Sep00,81.262997
Oct00,81.452069
Nov00,81.504046
Dic00,81.629782
Ene01,81.782987
Feb01,81.983653
Mar01,82.400056
Abr01,82.056998
May01,82.076917
Jun01,82.029778
Jul01,82.171484
Ago01,81.922521
Sep01,81.973934
Oct01,82.004655
Nov01,81.600482
Dic01,81.525825
Ene02,81.101951
Feb02,81.07006
Mar02,81.506552
Abr02,82.100994
May02,82.214967
Jun02,82.028109
Jul02,82.056252
Ago02,82.139041
Sep02,82.528014
Oct02,83.120534
Nov02,82.788574
Dic02,82.761629
Ene03,82.953156
Feb03,83.342061
Mar03,84.273642
Abr03,84.230783
May03,84.203808
Jun03,83.805415
Jul03,83.680363
Ago03,83.691623
Sep03,84.159123
Oct03,84.200388
Nov03,84.341579
Dic03,84.817224
Ene04,85.273072
Feb04,86.19921
Mar04,86.596113
Abr04,86.576395
May04,86.882741
Jun04,87.372592
Jul04,87.541316
Ago04,87.532964
Sep04,87.547573
Oct04,87.526783
Nov04,87.777992
Dic04,87.76978
Ene05,87.857681
Feb05,87.651549
Mar05,88.221456
Abr05,88.326284
May05,88.437867
Jun05,88.671115
Jul05,88.763875
Ago05,88.60445
Sep05,88.520915
Oct05,88.649076
Nov05,88.709397
Dic05,89.081289
Ene06,89.526347
Feb06,90.0172
Mar06,90.428725
Abr06,90.889918
May06,90.410063
Jun06,90.290236
Jul06,90.136345
Ago06,90.261947
Sep06,90.28665
Oct06,90.326186
Nov06,90.071326
Dic06,90.094575
Ene07,90.103069
Feb07,90.336857
Mar07,90.651984
Abr07,90.813532
May07,91.260218
Jun07,91.68886
Jul07,92.124882
Ago07,92.251008
Sep07,92.816046
Oct07,93.107502
Nov07,93.210858
Dic07,93.633201
Ene08,93.84111
Feb08,94.692266
Mar08,95.678818
Abr08,95.826374
May08,96.180444
Jun08,96.920651
Jul08,97.459018
Ago08,98.034499
Sep08,98.590552
Oct08,99.195039
Nov08,99.501575
Dic08,99.860003
Ene09,99.965634
Feb09,99.890873
Mar09,100.250699
Abr09,100.269758
May09,100.226636
Jun09,99.88629
Jul09,100.072766
Ago09,99.865211
Sep09,99.778142
Oct09,99.900496
Nov09,99.78854
Dic09,100.104976
Ene10,100.401203
Feb10,100.725005
Mar10,101.007853
Abr10,101.033466
May10,101.273784
Jun10,101.527828
Jul10,101.897344
Ago10,102.170954
Sep10,102.138251
Oct10,101.993499
Nov10,102.001562
Dic10,102.1836
Ene11,102.582562
Feb11,102.974757
Mar11,103.698122
Abr11,104.404216
May11,104.379466
Jun11,104.482951
Jul11,105.311451
Ago11,105.591388
Sep11,105.944258
Oct11,106.277824
Nov11,106.736331
Dic11,107.025489
Ene12,106.917049
Feb12,107.264432
Mar12,108.086095
Abr12,108.660616
May12,108.703277
Jun12,108.663388
Jul12,108.761575
Ago12,109.31452
Sep12,109.907777
Oct12,109.728272
Nov12,109.57743
Dic12,109.860989
Ene13,109.987788
Feb13,109.891941
Mar13,110.887497
Abr13,111.167362
May13,111.382566
Jun13,111.674163
Jul13,112.286672
Ago13,112.896282
Sep13,113.019091
Oct13,113.062346
Nov13,112.815595
Dic13,113.002663
Ene14,113.360708
Feb14,114.041823
Mar14,114.633197
Abr14,115.08396
May14,115.342934
Jun14,115.526534
Jul14,116.027125
Ago14,115.927783
Sep14,116.11385
Oct14,116.553757
Nov14,116.379555
Dic14,116.645938
Ene15,116.844581
Feb15,117.199168
Mar15,118.095348
Abr15,118.556518
May15,119.22561
Jun15,119.621846
Jul15,120.161085
Ago15,120.614364
Sep15,120.647579
Oct15,120.819863
Nov15,121.23557
Dic15,121.775943
Ene16,122.229583
Feb16,122.442374
Mar16,123.174724
Abr16,123.188774
May16,123.446933
Jun16,123.619152
Jul16,123.720207
Ago16,124.163479
Sep16,124.419832
Oct16,124.934127
Nov16,125.296516
Dic16,125.715251
Ene17,126.014256
Feb17,126.421498
Mar17,128.07074
Abr17,127.740249
May17,127.199476
Jun17,126.996976
Jul17,127.248793
Ago17,128.104192
Sep17,128.08399
Oct17,127.482962
Nov17,127.231518
Dic17,127.431083
Ene18,127.593452
Feb18,127.912717
Mar18,128.535811
Abr18,128.359623
May18,128.383312
Jun18,128.812187
Jul18,129.305262
Ago18,129.475644
Sep18,129.723825
Oct18,129.829788
Nov18,129.988749
Dic18,130.225039
Ene19,130.310118
Feb19,130.475301
Mar19,131.424577
Abr19,131.687532
May19,131.881921
Jun19,131.768144
Jul19,132.036077
Ago19,132.116589
Sep19,132.125022
Oct19,132.271318
Nov19,132.415375
Dic19,132.699434
Ene20,132.770837
Feb20,132.9596
Mar20,133.818519
Abr20,133.95847
May20,134.231951
Jun20,133.874764
Jul20,134.494187
Ago20,134.345922
Sep20,134.529108
Oct20,134.551676
Nov20,135.25199
Dic20,135.317902
Ene21,136.323181
Feb21,136.152415
Mar21,137.295372
Abr21,137.151635
May21,137.517223
Jun21,138.231861
Jul21,139.624601
Ago21,140.999813
Sep21,141.564408
Oct21,142.39067
Nov21,142.90069
Dic21,144.019367
